text,cleaned_text,language,date,source,location,disaster_type
"dating mataas na lugar binabaha na, kapapabayaan ng mga politiko yan, gusto nila puro negosyo pero sinisira nila ang mga bundok, puro pabahay na at mga illegal mining",dating mataas na lugar binabaha na kapapabayaan ng mga politiko yan gusto nila puro negosyo pero sinisira nila ang mga bundok puro pabahay na at mga illegal mining,Tagalog,2024-09-02T11:00:29.000Z,Facebook,"Sanjose, Antipolo",Landslide
Daang pari,daang pari,Taglish,2024-09-02T08:01:36.000Z,Facebook,"Sanjose, Antipolo",Landslide
walana puno   kawawa  nasa  baba   dapat pag  bawalan  na puro  bahala  naka  takot  na   manila   kada  bagyo  prolima  yan.  mag  tanim  kayo  kahoy,walana puno kawawa nasa baba dapat pag bawalan na puro bahala naka takot na manila kada bagyo prolima yan mag tanim kayo kahoy,Tagalog,2024-09-04T12:18:12.000Z,Facebook,"Sanjose, Antipolo",Landslide
"hinapao daang pari brgy. san jose antipolo rizal,,,,, pababa ng solid cement yan",hinapao daang pari brgy san jose antipolo rizal pababa ng solid cement yan,Tagalog,2024-09-03T11:11:26.000Z,Facebook,"Sanjose, Antipolo",Landslide
may dalang malas tong mga nakaupo ngaun puro kalamidad  nlng.,may dalang malas tong mga nakaupo ngaun puro kalamidad nlng,Tagalog,2024-09-02T14:49:38.000Z,Facebook,"Sanjose, Antipolo",Landslide
sio xod sop oje sooo,sio xod sop oje sooo,Taglish,2024-09-02T09:29:11.000Z,Facebook,"Sanjose, Antipolo",Landslide
To much quarrying and illegal logging,to much quarrying and illegal logging,English,2024-09-03T08:12:34.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Naniningil na ang Inang Kalikasan,pero hindi ito pansin ng mga ganid sa pera😡😡ampt.",naniningil na ang inang kalikasanpero hindi ito pansin ng mga ganid sa pera:enragedface::enragedface:ampt,Tagalog,2024-09-02T23:42:58.000Z,Facebook,"Sanjose, Antipolo",Landslide
kawawa nmn 🥲,kawawa nmn :smilingfacewithtear:,Taglish,2024-09-02T11:27:23.000Z,Facebook,"Sanjose, Antipolo",Landslide
ayan na dapat kc di sinisira ang kalikasan kundi tayu din mg bubuwes ng buhay,ayan na dapat kc di sinisira ang kalikasan kundi tayu din mg bubuwes ng buhay,Tagalog,2024-09-02T11:03:22.000Z,Facebook,"Sanjose, Antipolo",Landslide
Hiramin ninyo ang life detector ni torre na ginamit nila kay Quiboloy pag may heartbeat daw malalaman,hiramin ninyo ang life detector ni torre na ginamit nila kay quiboloy pag may heartbeat daw malalaman,Tagalog,2024-09-06T00:01:48.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Condolence sa boung pamilya , rip po sa 4 kawawa naman",condolence sa boung pamilya rip po sa 4 kawawa naman,Tagalog,2024-09-02T09:32:57.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa Naman😭. Lord 🙏,kawawa naman:loudlycryingface: lord :foldedhands:,English,2024-09-02T09:39:30.000Z,Facebook,"Sanjose, Antipolo",Landslide
RIP,rip,Taglish,2024-09-02T08:31:09.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa naman pati yung baby😟💔,kawawa naman pati yung baby:worriedface::brokenheart:,English,2024-09-02T07:09:31.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ingat po,ingat po,Tagalog,2024-09-04T12:21:02.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ingat po,ingat po,Tagalog,2024-09-03T12:29:40.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Kalbo na Ang mga kabundukan kaya ganito na Ang nangyare, ingatan natin Ang ating kalikasan,",kalbo na ang mga kabundukan kaya ganito na ang nangyare ingatan natin ang ating kalikasan,Tagalog,2024-09-04T11:56:03.000Z,Facebook,"Sanjose, Antipolo",Landslide
Grabee ung pagbabago sa Antipolo puro subdivision na yata sa taas ng bundok Kaya ung bagsak ng tubig sagasa ... Wala ng Puno Kaya nagkakalandslide,grabee ung pagbabago sa antipolo puro subdivision na yata sa taas ng bundok kaya ung bagsak ng tubig sagasa wala ng puno kaya nagkakalandslide,Tagalog,2024-09-02T20:36:23.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Dito po sa COGEO,knowing na mataas na lugar,pero ang daming lumubog na bahay sa baha!
Nabarahan na ang mga ilog na daluyan ng tubig.",dito po sa cogeoknowing na mataas na lugarpero ang daming lumubog na bahay sa baha nabarahan na ang mga ilog na daluyan ng tubig,Tagalog,2024-09-02T09:55:17.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ahay 🥹🥹 RIP sa mga biktima🙏,ahay :faceholdingbacktears::faceholdingbacktears: rip sa mga biktima:foldedhands:,English,2024-09-03T12:27:10.000Z,Facebook,"Sanjose, Antipolo",Landslide
"halos kalbo na mga bundok,nakakalungkot dahil may mga buhay na nawala dahil sa kapabayaan",halos kalbo na mga bundoknakakalungkot dahil may mga buhay na nawala dahil sa kapabayaan,Tagalog,2024-09-02T10:32:06.000Z,Facebook,"Sanjose, Antipolo",Landslide
cge lng putulin nyo ng putulin mga puno,cge lng putulin nyo ng putulin mga puno,Tagalog,2024-09-05T09:09:15.000Z,Facebook,"Sanjose, Antipolo",Landslide
Parang kina quarry ang lugar na yan kalbo na ehh,parang kina quarry ang lugar na yan kalbo na ehh,Tagalog,2024-09-02T09:34:07.000Z,Facebook,"Sanjose, Antipolo",Landslide
Sad 😔,sad :pensiveface:,Taglish,2024-09-03T00:15:27.000Z,Facebook,"Sanjose, Antipolo",Landslide
Saang Sitio?,saang sitio,Tagalog,2024-09-02T08:06:27.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa nmn po cla,kawawa nmn po cla,Taglish,2024-09-04T01:58:41.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa Naman sila😥,kawawa naman sila:sadbutrelievedface:,Taglish,2024-09-05T10:26:04.000Z,Facebook,"Sanjose, Antipolo",Landslide
Keeps safe always 🙏🙏❤️❤️,keeps safe always :foldedhands::foldedhands::redheart::redheart:,English,2024-09-02T16:39:48.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ung  ilog Kasi Jan deretso Ng Robinson  lumiit na inilihis pa Yan kaya nag ganti na kalikasan,ung ilog kasi jan deretso ng robinson lumiit na inilihis pa yan kaya nag ganti na kalikasan,Tagalog,2024-09-02T23:19:49.000Z,Facebook,"Sanjose, Antipolo",Landslide
kawawa nman. samantala c bongbong marcos at lizatanas panay singhot lng ng cocaine sa malakanyang,kawawa nman samantala c bongbong marcos at lizatanas panay singhot lng ng cocaine sa malakanyang,Tagalog,2024-09-06T09:07:55.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ano n nangyare.. d tayo binabaha  bat ngakaganito  ng dahil sa Quarry ba pag putol ng mga puno ..  Please keep safe po...,ano n nangyare d tayo binabaha bat ngakaganito ng dahil sa quarry ba pag putol ng mga puno please keep safe po,Tagalog,2024-09-02T09:28:04.000Z,Facebook,"Sanjose, Antipolo",Landslide
Eto dapat inaasikaso tulong sa nasalanta Hindi si guo...,eto dapat inaasikaso tulong sa nasalanta hindi si guo,Tagalog,2024-09-06T02:19:00.000Z,Facebook,"Sanjose, Antipolo",Landslide
Rip,rip,Taglish,2024-09-03T15:15:16.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Sana Yung baby tiningnan nila Yung tyan Ng Ina baka KC Buhay pa, Meron kaseng ganun patay na Ang Ina pero Yung baby sa loob Buhay pa..",sana yung baby tiningnan nila yung tyan ng ina baka kc buhay pa meron kaseng ganun patay na ang ina pero yung baby sa loob buhay pa,Tagalog,2024-09-03T09:50:58.000Z,Facebook,"Sanjose, Antipolo",Landslide
nakakalungkot 🥲🥲🥲,nakakalungkot :smilingfacewithtear::smilingfacewithtear::smilingfacewithtear:,English,2024-09-02T08:02:46.000Z,Facebook,"Sanjose, Antipolo",Landslide
"(""gusto lang ng View's ng vlogger na yan",gusto lang ng views ng vlogger na yan,Tagalog,2024-09-02T12:13:55.000Z,Facebook,"Sanjose, Antipolo",Landslide
ATTENTION : ALL LGUs of PHIL PROVINCES/CITIES - Learn from Antipolo ;  beware of floods,attention : all lgus of phil provincescities learn from antipolo beware of floods,English,2024-09-02T10:33:28.000Z,Facebook,"Sanjose, Antipolo",Landslide
Nakaka lungkot,nakaka lungkot,Tagalog,2024-09-02T08:41:20.000Z,Facebook,"Sanjose, Antipolo",Landslide
San banda po yan..,san banda po yan,Tagalog,2024-09-02T07:12:06.000Z,Facebook,"Sanjose, Antipolo",Landslide
San Jose Daan pari yan,san jose daan pari yan,Taglish,2024-09-04T17:19:53.000Z,Facebook,"Sanjose, Antipolo",Landslide
san jose saan anong bayan puro dakdak,san jose saan anong bayan puro dakdak,Tagalog,2024-09-02T13:30:24.000Z,Facebook,"Sanjose, Antipolo",Landslide
yung nga lugar na di nman binabha noon ngayon  binbha na,yung nga lugar na di nman binabha noon ngayon binbha na,Tagalog,2024-09-02T08:34:31.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kasi nmn pinapayagn ng goverment ng antipolo na Pa tuloy magkaroon mga kabahayan dyan sa karatig lugar yan tuloy haist,kasi nmn pinapayagn ng goverment ng antipolo na pa tuloy magkaroon mga kabahayan dyan sa karatig lugar yan tuloy haist,Tagalog,2024-09-02T15:21:56.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Masakit talaga tanggapin, na mawala sa atin ang isa sa ating Mahal sa buhay.. Wala naman pong may gusto sa pangyayaring ganito. Tanging ang Diyos lamang ang nakakaalam.. Kung Hanggang kailan lang tayo sa mundong ito..(Hebrew 9:27)..may ibat ibang kaparaanan kung paano ang tao mamatay.. tanging ang Diyos lamang ang nakakaalam..kahit bata man o matanda o sangol man pweding bumalik na sa DIYOS ang buhay ng tao.. Mensahe po ito na ang buhay natin ay hiram lamang sa Diyos...sinabi ng bibliya na ang tao ay may kamatayan.. Kaya ito ang katotohanan at hindi biro na ang tao ay may hangganan lamang sa mundong ating ginagalawan. Araw -araw ay Isang paghahanda po sa bawat isa sa atin dahil may Walang Hanggang Buhay at Walang Hanggang Kamatayan na haharapin tayo after Ng ating Kamatayan Dito sa mundo..Maging handa po tayo.. Sa pag harap sa ating Panginoong JesuCristo dahil dlawa lang pupuntahan natin after death LANGIT AT IMPYERNO lang at ayaw ng Diyos na mapahamak tayo sa Dagat Dagatang apoy ng IMPYERNO kaya nga pinadala Nya dito sa Mundo ang kaisa Isang anak Nya ang Panginoong Hesus para tayo maligtas at matubos sa kabayaran ng ating mga kasalanan...SOBRANG mahal na mahal na mahal po tayo ng DIYOS higit sa iniisip at inaakala natin..Be Save Mga Kapatid Ngayon ang kaligtasan ng ating kaluluwa...Nakikiramay po kami sa pamilya nyo Te Melisa Maluya Ladera na  nawalan ng mahal sa buhay... Suma inyo ang kapayapaan ni Cristo Jesus.HINDI KAYO IIWAN NG DIYOS NI PABAYAAN MAN...MAHAL NA MAHAL NYA KAYO...God bless you all po 🙏🙏💯🤩🥰",masakit really tanggapin na mawala sa atin ang isa sa ating mahal sa buhay wala naman pong may gusto sa pangyayaring ganito tanging ang diyos lamang ang nakakaalam kung hanggang kailan lang tayo sa mundong itohebrew 9:27may ibat ibang kaparaanan kung how ang tao mamatay tanging ang diyos lamang ang nakakaalamkahit bata man o matanda o sangol man pweding bumalik na sa diyos ang buhay ng tao mensahe po ito na ang buhay natin ay hiram lamang sa diyossinabi ng bibliya na ang tao ay may kamatayan kaya ito ang katotohanan at hindi biro na ang tao ay may hangganan lamang sa mundong ating ginagalawan araw araw ay isang paghahanda po sa bawat isa sa atin dahil may walang hanggang buhay at walang hanggang kamatayan na haharapin tayo after ng ating kamatayan dito sa mundomaging handa po tayo sa pag harap sa ating panginoong jesucristo dahil dlawa lang pupuntahan natin after death langit at impyerno lang at ayaw ng diyos na mapahamak tayo sa dagat dagatang apoy ng impyerno kaya nga pinadala nya dito sa mundo ang kaisa isang anak nya ang panginoong hesus para tayo maligtas at matubos sa kabayaran ng ating mga kasalanansobrang mahal na mahal na mahal po tayo ng diyos higit sa iniisip at inaakala natinbe save mga kapatid ngayon ang kaligtasan ng ating kaluluwanakikiramay po kami sa pamilya nyo te melisa maluya ladera na nawalan ng mahal sa buhay suma inyo ang kapayapaan ni cristo jesushindi kayo iiwan ng diyos ni pabayaan manmahal na mahal nya kayogod bless you all po :foldedhands::foldedhands::hundredpoints::starstruck::smilingfacewithhearts:,Tagalog,2024-09-06T04:01:58.000Z,Facebook,"Sanjose, Antipolo",Landslide
Alam nyo masakit Naman saakin Yan mga taong na mamatay sa ganitong panahon pro pro alam nyo iisa lang talaga Ang dios,alam nyo masakit naman saakin yan mga taong na mamatay sa ganitong panahon pro pro alam nyo iisa lang really ang dios,Tagalog,2024-09-04T03:57:39.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ingat lagi po kayo,ingat lagi po kayo,Tagalog,2024-09-03T06:51:44.000Z,Facebook,"Sanjose, Antipolo",Landslide
Gamitan nyo Ng heartbeat agad 😏😏😏😏😏,gamitan nyo ng heartbeat agad :smirkingface::smirkingface::smirkingface::smirkingface::smirkingface:,English,2024-09-03T01:20:31.000Z,Facebook,"Sanjose, Antipolo",Landslide
kulang   n   kasi  mga  puno  saatin,kulang n kasi mga puno saatin,Tagalog,2024-09-02T12:10:59.000Z,Facebook,"Sanjose, Antipolo",Landslide
Ingat ms. Habang nagrereport 🙏🏼👏♥️,ingat ms habang nagrereport :foldedhandsmediumlightskintone::clappinghands::heartsuit:,English,2024-09-02T07:13:41.000Z,Facebook,"Sanjose, Antipolo",Landslide
Dyos ko po 😞😞😞.,dyos ko po :disappointedface::disappointedface::disappointedface:,Taglish,2024-09-02T07:38:18.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Cno poh nagsabi na ngayon lang nagkaroon ng landslide dyan 😅😅...Dyan pOh ko nakatira,at ung part na yan....Dyan madalas gumuho ang lupa,pero hnd ganyan kalala....",cno poh nagsabi na ngayon lang nagkaroon ng landslide dyan :grinningfacewithsweat::grinningfacewithsweat:dyan poh ko nakatiraat ung part na yandyan madalas gumuho ang lupapero hnd ganyan kalala,Tagalog,2024-09-02T09:23:48.000Z,Facebook,"Sanjose, Antipolo",Landslide
Hala.rip po.,halarip po,Tagalog,2024-09-04T15:04:48.000Z,Facebook,"Sanjose, Antipolo",Landslide
Daan pari yan?,daan pari yan,Taglish,2024-09-03T04:18:11.000Z,Facebook,"Sanjose, Antipolo",Landslide
Saan yan banda ba. Malayo ba sa hiway ng antipolo.,saan yan banda ba malayo ba sa hiway ng antipolo,Tagalog,2024-09-02T08:50:01.000Z,Facebook,"Sanjose, Antipolo",Landslide
First time kami binaha dito sa ANTIPOLO dahil dw sa quarrying at may dam pa. Wla pang flood control my gosh. Hindi kami binabaha ng ganito.,first time kami binaha dito sa antipolo dahil dw sa quarrying at may dam pa wla pang flood control my gosh hindi kami binabaha ng ganito,Tagalog,2024-09-03T09:34:11.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Sa Marcos hi way pobayan ma'am, ung lagpas Ng Coguio",sa marcos hi way pobayan madam ung lagpas ng coguio,Tagalog,2024-09-05T05:46:00.000Z,Facebook,"Sanjose, Antipolo",Landslide
Pumutol pa kayo nang pumutol nang puno after 10 years lubog na buong Antipolo sa baha😂😂😂,pumutol pa kayo nang pumutol nang puno after 10 years lubog na buong antipolo sa baha:facewithtearsofjoy::facewithtearsofjoy::facewithtearsofjoy:,Tagalog,2024-09-03T06:00:05.000Z,Facebook,"Sanjose, Antipolo",Landslide
R i p,r i p,Taglish,2024-09-04T10:00:47.000Z,Facebook,"Sanjose, Antipolo",Landslide
Alert dapat UN narirahan kilid Ng bundok  Prayers for the soul's RIP 🙏👏👏👏,alert dapat un narirahan kilid ng bundok prayers for the souls rip :foldedhands::clappinghands::clappinghands::clappinghands:,English,2024-09-04T05:51:58.000Z,Facebook,"Sanjose, Antipolo",Landslide
Pinaka malaking brgy ang San Jose.. anung sitio yan.. ma'am.,pinaka malaking brgy ang san jose anung sitio yan madam,Tagalog,2024-09-03T01:06:23.000Z,Facebook,"Sanjose, Antipolo",Landslide
Naniningil na ang kalikasan,naniningil na ang kalikasan,Tagalog,2024-09-02T13:45:38.000Z,Facebook,"Sanjose, Antipolo",Landslide
Mga pinapayagan quarry inuubos  resulta buro baha diba.bakit pinapayagan Ang quarry Malaking Pera Kasi Yan walang pakialam SA kalalabasan mga nakakasiwa at pinapayagan Ang mga ganyan,mga pinapayagan quarry inuubos resulta buro baha dibabakit pinapayagan ang quarry malaking pera kasi yan walang pakialam sa kalalabasan mga nakakasiwa at pinapayagan ang mga ganyan,Tagalog,2024-09-03T23:11:18.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa naman ang mga namatay🥺 RIP,kawawa naman ang mga namatay:pleadingface: rip,Tagalog,2024-09-02T07:38:13.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Antipolo, landslide na  baha pa....😥",antipolo landslide na baha pa:sadbutrelievedface:,Taglish,2024-09-02T13:11:20.000Z,Facebook,"Sanjose, Antipolo",Landslide
Mga kabundukan na imbes puno mga nakatanim mga malalaking bahay na mga mansion pa,mga kabundukan na imbes puno mga nakatanim mga malalaking bahay na mga mansion pa,Tagalog,2024-09-04T07:55:17.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Saan sittio po yan eh ang lake2 ng baranggay san jose,",saan sittio po yan eh ang lake2 ng baranggay san jose,Tagalog,2024-09-02T08:50:26.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa naman 🙏🙏🙏,kawawa naman :foldedhands::foldedhands::foldedhands:,English,2024-09-06T08:17:37.000Z,Facebook,"Sanjose, Antipolo",Landslide
kalbo na Ang mga bundok. boto pa uli sa trapo,kalbo na ang mga bundok boto pa uli sa trapo,Tagalog,2024-09-03T14:43:21.000Z,Facebook,"Sanjose, Antipolo",Landslide
ang kawawa kong pinsan😭😭,ang kawawa kong pinsan:loudlycryingface::loudlycryingface:,Tagalog,2024-09-02T09:33:22.000Z,Facebook,"Sanjose, Antipolo",Landslide
Mhedz Francisco grabee nanyare sa antipolo cyst pati sa mayamot nakita ko grabee un baha ung agos ng tubig dun malala din haysss🥺🥺😔😔,mhedz francisco grabee nanyare sa antipolo cyst pati sa mayamot nakita ko grabee un baha ung agos ng tubig dun malala din haysss:pleadingface::pleadingface::pensiveface::pensiveface:,English,2024-09-02T07:33:11.000Z,Facebook,"Sanjose, Antipolo",Landslide
Don't be surprised yung kilalang mataas na lugar ay nalulubog na sa baha dahil sa walang habas na pag sira ng mga bundok dito! Kahit anong gawing ayos sa mga Drainage lagi pa din umaapaw dahil hndi kaya ung bugso ng 2big galing sa mga bundok na ngayon ay Subdivision na!,do not be surprised yung kilalang mataas na lugar ay nalulubog na sa baha dahil sa walang habas na pag sira ng mga bundok dito kahit anong gawing ayos sa mga drainage lagi pa din umaapaw dahil hndi kaya ung bugso ng 2big galing sa mga bundok na ngayon ay subdivision na,Tagalog,2024-09-02T10:34:57.000Z,Facebook,"Sanjose, Antipolo",Landslide
Reyjean Escabilla,reyjean escabilla,Taglish,2024-09-02T10:03:36.000Z,Facebook,"Sanjose, Antipolo",Landslide
Sa daang pari to🥺😔😔,sa daang pari to:pleadingface::pensiveface::pensiveface:,Taglish,2024-09-13T22:27:00.000Z,Facebook,"Sanjose, Antipolo",Landslide
grabe insan dipa rin aqo mkapaniwala😭😭,grabe insan dipa rin aqo mkapaniwala:loudlycryingface::loudlycryingface:,Tagalog,2024-09-02T11:31:38.000Z,Facebook,"Sanjose, Antipolo",Landslide
grabe kawawa naman mga namatay.,grabe kawawa naman mga namatay,Tagalog,2024-09-02T08:05:47.000Z,Facebook,"Sanjose, Antipolo",Landslide
Hayz bokols nman Ng reporter haba ng San Jose girl exact location mo nman,hayz bokols nman ng reporter haba ng san jose girl exact location mo nman,Tagalog,2024-09-02T10:05:06.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Baka Maka survive pa Ang baby, ? 😥maaari kaya Yun,? Or kahapon pa natabunan.. Nakakalungkot naman",baka maka survive pa ang baby :sadbutrelievedface:maaari kaya yun or kahapon pa natabunan nakakalungkot naman,Tagalog,2024-09-02T07:30:11.000Z,Facebook,"Sanjose, Antipolo",Landslide
Grabe baha d2 samin sa brgy.pinugay baras🥲🥲🥹,grabe baha d2 samin sa brgypinugay baras:smilingfacewithtear::smilingfacewithtear::faceholdingbacktears:,English,2024-09-02T07:08:09.000Z,Facebook,"Sanjose, Antipolo",Landslide
Namumuno ang dapat ang dapat tanongin dyn,namumuno ang dapat ang dapat tanongin dyn,Tagalog,2024-09-13T10:29:02.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Kalikasan kapag inabuso ,.manganganib tayo..",kalikasan kapag inabuso manganganib tayo,Tagalog,2024-09-04T04:23:39.000Z,Facebook,"Sanjose, Antipolo",Landslide
Anyari Antipolo bakit na binabaha,anyari antipolo bakit na binabaha,Tagalog,2024-09-02T07:44:53.000Z,Facebook,"Sanjose, Antipolo",Landslide
Crush ko yan si reporter  katrina sunday..,crush ko yan si reporter katrina sunday,Taglish,2024-09-02T07:30:28.000Z,Facebook,"Sanjose, Antipolo",Landslide
Wag naman sana dto samin sa pagrai..,wag naman sana dto samin sa pagrai,Tagalog,2024-09-02T18:13:19.000Z,Facebook,"Sanjose, Antipolo",Landslide
Condolence po sa Pamilya.,condolence po sa pamilya,Taglish,2024-09-06T09:15:00.000Z,Facebook,"Sanjose, Antipolo",Landslide
Keep safe 🙏🏼,keep safe :foldedhandsmediumlightskintone:,Taglish,2024-09-02T09:35:31.000Z,Facebook,"Sanjose, Antipolo",Landslide
sigaw ng kalikasan naririnig mo ba..?? putol puno  STOP na!!😅✌,sigaw ng kalikasan naririnig mo ba putol puno stop na:grinningfacewithsweat::victoryhand:,Tagalog,2024-09-04T00:06:24.000Z,Facebook,"Sanjose, Antipolo",Landslide
Dapat nilagyan Jan ng heartbeat para makita na tung natabunan😢,dapat nilagyan jan ng heartbeat para makita na tung natabunan:cryingface:,Tagalog,2024-09-03T04:57:31.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa naman 😢,kawawa naman :cryingface:,Taglish,2024-09-02T22:49:32.000Z,Facebook,"Sanjose, Antipolo",Landslide
Wala pala yon mga puno ng kahoy diyan sa ngayon. Dahil noon nandiyan pa ako maraming puno ng kahoy sa mga bundok.,wala pala yon mga puno ng kahoy diyan sa ngayon dahil noon nandiyan pa ako maraming puno ng kahoy sa mga bundok,Tagalog,2024-09-05T03:12:28.000Z,Facebook,"Sanjose, Antipolo",Landslide
kapag dumaan ka sa zigzag galing antipolo papuntang teresa may bukdok dyan mkikita mo may backhoe sa ibabaw ng bundok at tinatastas ang bundok....,kapag dumaan ka sa zigzag galing antipolo papuntang teresa may bukdok dyan mkikita mo may backhoe sa ibabaw ng bundok at tinatastas ang bundok,Tagalog,2024-09-02T10:01:16.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kailan Po ba yan,kailan po ba yan,Tagalog,2024-09-03T10:35:12.000Z,Facebook,"Sanjose, Antipolo",Landslide
Inubos nila ang puno ng lahoy putol kaya balik din sa atin ang parusa... Kawawa ang biktima,inubos nila ang puno ng lahoy putol kaya balik din sa atin ang parusa kawawa ang biktima,Tagalog,2024-09-02T08:44:01.000Z,Facebook,"Sanjose, Antipolo",Landslide
Di kompleto details ng balita puro brgy. San jose lng sinasabe saan ba yan sa 82 po na sitio ng brgy. San jose?,di kompleto details ng balita puro brgy san jose lng sinasabe saan ba yan sa 82 po na sitio ng brgy san jose,Tagalog,2024-09-02T10:01:19.000Z,Facebook,"Sanjose, Antipolo",Landslide
Hinapao tsktsk,hinapao tsktsk,Taglish,2024-09-03T02:39:32.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Baha at landslide sa mga mamayan.. 
Baha ng pera sa mga nanunungkulan",baha at landslide sa mga mamayan baha ng pera sa mga nanunungkulan,Tagalog,2024-09-02T21:55:41.000Z,Facebook,"Sanjose, Antipolo",Landslide
Alam ko to lugar na to,alam ko to lugar na to,Tagalog,2024-09-02T14:00:46.000Z,Facebook,"Sanjose, Antipolo",Landslide
kong pantay na ang lupa kag dagat ano mg yari lanas tubig na lahat,kong pantay na ang lupa kag dagat ano mg yari lanas tubig na lahat,Tagalog,2024-09-20T22:57:13.000Z,Facebook,"Sanjose, Antipolo",Landslide
San lugar SA San Jose yn,san lugar sa san jose yn,Tagalog,2024-09-02T10:02:40.000Z,Facebook,"Sanjose, Antipolo",Landslide
Sa daang pare po iyan .malapit sa  hinapao..,sa daang pare po iyan malapit sa hinapao,Tagalog,2024-09-02T09:40:36.000Z,Facebook,"Sanjose, Antipolo",Landslide
Hay buhay halos boong Rizal naapektuhan na,hay buhay halos boong rizal naapektuhan na,Tagalog,2024-09-02T13:02:18.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa nman mga natabunan Ng lupa,kawawa nman mga natabunan ng lupa,Tagalog,2024-09-03T21:19:22.000Z,Facebook,"Sanjose, Antipolo",Landslide
San banda sa san jose. Laki kc ng brgy san jose,san banda sa san jose laki kc ng brgy san jose,Tagalog,2024-09-02T16:48:28.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Daniella Nicol  
Ito dinadaan ko mahalko tuwing papasok oh , buti di ako nakatuloy kanina",daniella nicol ito dinadaan ko mahalko tuwing papasok oh buti di ako nakatuloy kanina,Tagalog,2024-09-02T15:40:25.000Z,Facebook,"Sanjose, Antipolo",Landslide
jessica saan yung landslide s antipolo,jessica saan yung landslide s antipolo,Taglish,2024-09-04T09:11:39.000Z,Facebook,"Sanjose, Antipolo",Landslide
Pag riprap na wag nyo na tirahan matatabunan Lang kayo,pag riprap na wag nyo na tirahan matatabunan lang kayo,Tagalog,2024-09-03T08:43:32.000Z,Facebook,"Sanjose, Antipolo",Landslide
Grabe no cel,grabe no cel,Taglish,2024-09-02T23:07:00.000Z,Facebook,"Sanjose, Antipolo",Landslide
"along highway ag agihan koy 2 lugar
matapit 2 si sabal'lihan ko pitak",along highway ag agihan koy 2 lugar matapit 2 si saballihan ko pitak,Tagalog,2024-09-02T11:02:30.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Nakakap...na mga gov't officials ; after Rizal , what's next ?!",nakakapna mga govt officials after rizal what is next,English,2024-09-02T10:53:54.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa nmn,kawawa nmn,Taglish,2024-09-03T21:16:50.000Z,Facebook,"Sanjose, Antipolo",Landslide
"Naniningil na  kalikasan .   
 🤣🤣",naniningil na kalikasan :rollingonthefloorlaughing::rollingonthefloorlaughing:,Tagalog,2024-09-02T11:28:52.000Z,Facebook,"Sanjose, Antipolo",Landslide
San to??,san to,Tagalog,2024-09-02T07:42:55.000Z,Facebook,"Sanjose, Antipolo",Landslide
RIP 🪦🙏🏽🙏🏽,rip :headstone::foldedhandsmediumskintone::foldedhandsmediumskintone:,Taglish,2024-09-02T10:36:52.000Z,Facebook,"Sanjose, Antipolo",Landslide
Puro Kasi operation at construction na Ngayon Ang Antipolo kaya lahat ng bundok at puno sira na. Lahat may kapalit at kabayaran...,puro kasi operation at construction na ngayon ang antipolo kaya lahat ng bundok at puno sira na lahat may kapalit at kabayaran,Tagalog,2024-09-02T11:34:07.000Z,Facebook,"Sanjose, Antipolo",Landslide
Kawawa naman.,kawawa naman,Taglish,2024-09-03T07:40:02.000Z,Facebook,"Sanjose, Antipolo",Landslide
Masyado pang busy ang presidente maaksyonan yan kpg bumaba n sya,masyado pang busy ang presidente maaksyonan yan kpg bumaba n sya,Tagalog,2024-09-03T16:18:34.000Z,Facebook,"Sanjose, Antipolo",Landslide
Btx sa inyo bayan?,btx sa inyo bayan,Tagalog,2024-09-02T11:49:25.000Z,Facebook,"Sanjose, Antipolo",Landslide
